0;0;0;0;land;false;unknown;0
1;234;144;161;land;false;plains;1
2;124;153;245;land;false;plains;1
3;238;153;169;land;false;plains;1
4;164;159;223;land;false;plains;1
5;152;208;142;land;false;plains;1
6;139;169;214;land;false;forest;1
7;79;231;193;land;false;jungle;1
8;205;237;225;land;false;plains;1
9;196;170;200;land;false;plains;1
10;253;49;235;land;false;jungle;1
11;204;242;77;land;false;plains;1
12;184;188;236;land;false;hills;1
13;99;251;183;land;false;hills;1
14;254;206;75;land;false;jungle;1
15;90;232;225;land;false;plains;1
16;245;31;227;land;true;plains;1
17;104;245;167;land;false;plains;1
18;120;219;209;land;false;plains;1
19;175;145;207;land;false;plains;1
20;208;217;119;land;false;plains;1
21;187;252;68;land;false;plains;1
22;174;237;188;land;false;plains;1
23;168;239;139;land;false;plains;1
24;208;202;136;land;true;forest;1
25;183;128;210;land;false;plains;1
26;197;236;122;land;false;jungle;1
27;237;178;243;land;false;jungle;1
28;103;173;240;land;false;jungle;1
29;194;115;248;land;false;jungle;1
30;118;172;217;land;false;jungle;1
31;239;252;110;land;false;plains;1
32;251;234;40;land;true;plains;1
33;236;248;157;land;false;plains;1
34;146;233;208;land;false;plains;1
35;182;165;195;land;false;plains;1
36;184;91;247;land;true;jungle;1
37;233;242;211;land;false;plains;1
38;247;254;112;land;false;plains;1
39;244;237;27;land;false;plains;1
40;222;113;211;land;false;plains;1
41;147;249;191;land;true;plains;1
42;114;242;162;land;false;plains;1
43;229;112;187;land;false;plains;1
44;164;242;117;land;false;plains;1
45;244;51;221;land;false;plains;1
46;217;218;166;land;false;jungle;1
47;196;188;141;land;true;plains;1
48;177;219;152;land;false;jungle;1
49;94;230;241;land;false;forest;1
50;185;145;186;land;false;jungle;1
51;215;165;221;land;false;plains;1
52;190;178;212;land;true;forest;1
53;196;223;248;land;false;plains;1
54;138;243;135;land;false;plains;1
55;241;152;159;land;false;urban;1
56;171;190;197;land;false;plains;1
57;162;242;120;land;false;plains;1
58;187;192;190;land;false;plains;1
59;154;242;193;land;false;plains;1
60;224;247;173;land;false;jungle;1
61;122;208;195;land;false;plains;1
62;236;188;175;land;false;plains;1
63;103;236;219;land;false;jungle;1
64;185;254;128;land;false;plains;1
65;207;246;88;land;false;hills;1
66;71;207;253;land;false;plains;1
67;174;228;110;land;false;marsh;1
68;164;205;204;land;false;plains;1
69;202;210;237;land;false;hills;1
70;227;204;244;land;false;plains;1
71;253;202;108;land;false;plains;1
72;250;241;221;land;false;plains;1
73;252;250;213;land;false;plains;1
74;151;194;229;land;false;plains;1
75;163;219;125;land;false;plains;1
76;252;235;181;land;false;plains;1
77;125;228;177;land;false;plains;1
78;193;242;223;land;false;plains;1
79;103;226;233;land;false;plains;1
80;212;131;164;land;false;plains;1
81;233;140;252;land;false;plains;1
82;140;254;214;land;false;urban;1
83;106;237;191;land;false;plains;1
84;235;172;178;land;false;jungle;1
