1;arms_factory;2946.00;11.63;1364.00;0.45;0
1;arms_factory;2948.00;10.05;1356.00;3.47;0
1;arms_factory;2948.00;10.38;1357.00;6.13;0
1;arms_factory;2950.00;11.20;1370.00;2.51;0
1;arms_factory;2945.00;12.03;1368.00;4.07;0
1;arms_factory;2945.00;11.88;1369.00;1.91;0
1;industrial_complex;2950.00;12.05;1361.00;3.12;0
1;industrial_complex;2950.00;12.05;1361.00;0.96;0
1;industrial_complex;2950.00;12.40;1364.00;3.98;0
1;industrial_complex;2944.00;9.50;1357.00;0.36;0
1;industrial_complex;2945.00;9.60;1357.00;3.02;0
1;industrial_complex;2948.00;10.82;1371.00;5.69;0
1;air_base;2948.38;11.60;1359.45;0.15;0
1;naval_base;2954.00;9.70;1370.00;0.98;0
1;naval_base;2942.00;9.50;1371.00;-2.60;0
1;naval_base;2944.00;9.50;1360.00;-0.79;0
1;bunker;2945.00;10.03;1361.00;2.07;0
1;bunker;2953.00;10.15;1364.00;6.20;0
1;coastal_bunker;2953.00;9.78;1372.00;0.98;0
1;coastal_bunker;2940.00;9.50;1368.00;-1.19;0
1;dockyard;2953.00;9.50;1375.00;-3.00;0
1;anti_air_building;2952.00;10.80;1364.00;6.20;0
1;anti_air_building;2952.00;10.80;1364.00;2.59;0
1;anti_air_building;2943.00;10.30;1365.00;0.43;0
1;synthetic_refinery;2946.00;9.73;1358.00;1.63;0
1;nuclear_reactor;2948.00;10.82;1371.00;1.03;0
1;rocket_site;2950.35;9.30;1355.33;2.67;0
1;radar_station;2948.00;13.38;1365.00;5.97;0
1;fuel_silo;2950.00;11.53;1358.00;3.22;0
1;supply_node;2951.00;11.40;1369.00;4.40;0
1;supply_node;2945.00;11.70;1366.00;5.88;0
36;floating_harbor;2901.01;9.50;1595.93;0.14;9335
1;supply_node;3016.00;10.98;1150.00;1.65;0
1;supply_node;1998.00;10.80;1554.00;3.13;0
1;supply_node;3073.00;10.70;1158.00;0.89;0
1;supply_node;2371.00;10.78;1617.00;2.36;0
1;supply_node;2557.00;10.43;756.00;5.30;0
1;supply_node;2512.00;11.20;426.00;3.06;0
1;supply_node;3020.00;12.00;1991.00;4.54;0
1;supply_node;1027.00;11.10;852.00;1.19;0
1;supply_node;4792.00;10.55;614.00;3.78;0
1;supply_node;2619.00;13.00;1105.00;0.43;0
1;supply_node;3445.00;11.62;1871.00;3.36;0
1;supply_node;3568.00;15.38;1559.00;5.94;0
1;supply_node;2510.00;11.30;470.00;2.60;0
1;supply_node;2774.00;10.32;1139.00;4.08;0
1;supply_node;1051.00;9.80;687.00;1.83;0
1;supply_node;1022.00;11.32;771.00;4.78;0
1;supply_node;2232.00;10.73;793.00;6.25;0
1;supply_node;700.00;10.00;1519.00;4.01;0
1;supply_node;2695.00;10.32;1597.00;5.49;0
1;supply_node;3657.00;12.20;1979.00;2.14;0
1;supply_node;3675.00;11.48;1963.00;4.72;0
1;supply_node;2282.00;12.50;1016.00;1.38;0
1;supply_node;2933.00;9.90;600.00;4.31;0
1;supply_node;2376.00;11.05;526.00;0.62;0
1;supply_node;3068.00;10.93;394.00;3.55;0
1;supply_node;2425.00;11.23;409.00;5.03;0
1;supply_node;5191.00;10.10;567.00;1.68;0
1;supply_node;3618.00;9.90;1340.00;5.72;0
1;supply_node;2114.00;11.30;1820.00;0.92;0
1;supply_node;1518.00;11.62;925.00;3.85;0
1;supply_node;4600.00;10.05;374.00;0.16;0
1;supply_node;3269.00;11.00;1337.00;6.03;0
1;supply_node;4537.00;10.95;734.00;2.32;0
1;supply_node;3038.00;11.15;1257.00;5.27;0
1;supply_node;2270.00;10.05;1878.00;0.46;0
1;supply_node;3518.00;12.98;571.00;4.50;0
1;supply_node;1600.00;11.40;1064.00;1.15;0
1;supply_node;1687.00;10.70;1271.00;2.63;0
1;supply_node;4006.00;10.30;1386.00;0.39;0
1;supply_node;3148.00;10.53;407.00;1.87;0
1;supply_node;1785.00;9.95;1509.00;4.80;0
1;supply_node;2512.00;10.00;562.00;2.56;0
1;supply_node;3606.00;10.57;462.00;4.04;0
1;supply_node;2800.00;12.65;1669.00;0.69;0
1;supply_node;2777.00;10.00;817.00;3.28;0
1;supply_node;2565.00;11.90;1063.00;6.21;0
1;supply_node;3097.00;10.53;516.00;2.87;0
1;supply_node;1400.00;11.30;1588.00;2.10;0
1;supply_node;1229.00;11.00;1620.00;3.58;0
1;supply_node;1263.00;9.80;1504.00;1.34;0
1;supply_node;2824.00;10.60;1771.00;2.81;0
1;supply_node;3691.00;12.25;543.00;5.76;0
1;supply_node;4277.00;10.80;648.00;3.51;0
1;supply_node;4539.00;11.10;1674.00;4.99;0
1;supply_node;3804.00;10.30;323.00;1.64;0
1;supply_node;2865.00;9.75;1201.00;4.23;0
1;supply_node;3616.00;10.10;1870.00;0.88;0
1;supply_node;924.00;10.53;1350.00;3.81;0
1;supply_node;2982.00;10.00;935.00;0.11;0
1;supply_node;1238.00;12.00;924.00;3.05;0
1;supply_node;3040.00;13.98;1695.00;4.53;0
